             t,             x,             y,             z,       particle
     6.98873592,   0.4460741121,    -2.16657233,    24.53656509,              8
    6.998748436,   0.1848094679,   -2.129084901,    23.88834973,              8
    7.008760951, -0.04657996902,   -2.099771267,    23.26324995,              8
    7.018773467,  -0.2518990988,   -2.080621159,    22.65976006,              8
    7.028785982,  -0.4347713048,   -2.073095681,    22.07660318,              8
    7.038798498,  -0.5986037424,   -2.078255029,    21.51271175,              8
    7.048811014,   -0.746568871,   -2.096867366,    20.96720488,              8
    7.058823529,  -0.8815987205,   -2.129500436,    20.43936597,              8
    7.068836045,   -1.006388892,   -2.176597808,    19.92862246,              8
    7.078848561,   -1.123409784,     -2.2385417,    19.43452904,              8
    7.088861076,   -1.234922975,    -2.31570433,     18.9567546,              8
    7.098873592,   -1.343001111,   -2.408489568,    18.49507309,              8
    7.108886108,   -1.449549957,   -2.517366553,    18.04935831,              8
    7.118898623,   -1.556331616,   -2.642896696,     17.6195823,              8
    7.128911139,   -1.664988124,   -2.785755345,    17.20581731,              8
    7.138923655,   -1.777064846,   -2.946749117,    16.80824114,              8
     7.14893617,   -1.894033273,   -3.126829745,    16.42714589,              8
    7.158948686,    -2.01731292,   -3.327105029,    16.06295012,              8
    7.168961202,   -2.148292131,   -3.548847277,    15.71621468,              8
    7.178973717,   -2.288347646,   -3.793499378,    15.38766221,              8
    7.188986233,   -2.438862819,   -4.062678393,    15.07820099,              8
    7.198998748,   -2.601244377,   -4.358176266,    14.78895321,              8
    7.209011264,   -2.776937565,   -4.681956932,    14.52128845,              8
     7.21902378,   -2.967439502,   -5.036148713,    14.27686256,              8
    7.229036295,   -3.174310423,   -5.423030443,    14.05766275,              8
    7.239048811,   -3.399182425,   -5.845009202,    13.86605908,              8
    7.249061327,   -3.643765103,   -6.304586918,    13.70486279,              8
    7.259073842,   -3.909847284,   -6.804312263,    13.57739142,              8
    7.269086358,   -4.199293782,   -7.346713396,    13.48754035,              8
    7.279098874,   -4.514035743,   -7.934206021,     13.4398596,              8
    7.289111389,   -4.856052771,   -8.568970087,    13.43963374,              8
    7.299123905,   -5.227344503,   -9.252787238,    13.49296147,              8
    7.309136421,   -5.629888776,    -9.98683005,     13.6068292,              8
    7.319148936,   -6.065582904,   -10.77139329,     13.7891706,              8
    7.329161452,   -6.536163942,   -11.60555736,    14.04890029,              8
    7.339173967,   -7.043103284,   -12.48677539,    14.39590597,              8
    7.349186483,   -7.587470495,   -13.41037852,    14.84097771,              8
    7.359198999,   -8.169761297,   -14.36900063,    15.39564779,              8
    7.369211514,   -8.789685231,   -15.35193439,    16.07190829,              8
     7.37922403,   -9.445910147,   -16.34444747,    16.88176882,              8
    7.389236546,   -10.13576388,   -17.32711146,    17.83661455,              8
    7.399249061,   -10.85489864,   -18.27522699,    18.94632677,              8
    7.409261577,   -11.59693147,   -19.15846551,    20.21813947,              8
    7.419274093,   -12.35308488,   -19.94088596,    21.65522774,              8
    7.429286608,   -13.11186499,    -20.5815142,     23.2550627,              8
    7.439299124,   -13.85882991,   -21.03568105,    25.00762443,              8
     7.44931164,   -14.57651502,   -21.25728191,    26.89363922,              8
    7.459324155,   -15.24459171,   -21.20203056,     28.8830923,              8
    7.469336671,    -15.8403356,   -20.83162016,    30.93434856,              8
    7.479349186,   -16.33946405,   -20.11848381,    32.99426424,              8
    7.489361702,   -16.71736603,   -19.05059897,    34.99966143,              8
